"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36"
"ABL2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1,1,1.5,3,4,1,1,2,3,4.5
"ABLIM1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,0.5,1,1,0.5,2,1.5,2,1,1,1,0.5,2
"ABLIM2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,1,1,1,2,1.5,2,0.5,1,1,1,2
"ABLIM3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1.5,1,1,1,0.5,2,2,2,1,1,1,1,2
"ABO",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,1,1,1.5,1.5,2,0.5,1,0.5,1,2
"ABR",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1.5,0.5,0.5,0.5,0.5,0.5,2,1.5,2,1,0.5,0.5,0.5,1
"ABRACL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1,0.5,0.5,0.5,2,1.5,2,1.5,1,0.5,1,1
"ABRAXAS1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,0.5,1,1,2,2,1.5,2,0.5,1,1,1,2
"ABRAXAS2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,0.5,1,1,0.5,2,1.5,2,1,1,1,1,2
"ABT1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0.5,1,1,1,1,2,2,2,1,1,1,1,2
